x,top
3365.62361315,1475.0
3390.62361315,1475.0
3415.62361315,1475.0
3440.62361315,1475.0
3465.62361315,1500.0
3490.62361315,1500.0
3515.62361315,1500.0
3540.62361315,1475.0
3565.62361315,1475.0
3590.62361315,1475.0
3615.62361315,1475.0
3640.62361315,1400.0
3665.62361315,1450.0
3690.62361315,1450.0
3715.62361315,1450.0
3740.62361315,1400.0
3765.62361315,1400.0
3790.62361315,1500.0
3815.62361315,1500.0
3840.62361315,1500.0
3865.62361315,1500.0
3890.62361315,1375.0
3915.62361315,1375.0
3940.62361315,1375.0
3965.62361315,1400.0
3990.62361315,1475.0
4015.62361315,1475.0
4040.62361315,1500.0
4065.62361315,1350.0
4090.62361315,1350.0
4115.62361315,1350.0
4140.62361315,1475.0
4165.62361315,1475.0
4190.62361315,1475.0
4215.62361315,1475.0
4240.62361315,1425.0
4265.62361315,1425.0
4290.62361315,1425.0
4315.62361315,1425.0
4340.62361315,1425.0
4365.62361315,1450.0
4390.62361315,1450.0
4415.62361315,1375.0
4440.62361315,1375.0
4465.62361315,1475.0
4490.62361315,1475.0
4515.62361315,1500.0
4540.62361315,1500.0
4565.62361315,1500.0
4590.62361315,1525.0
4615.62361315,1525.0
4640.62361315,1450.0
4665.62361315,1450.0
4690.62361315,1475.0
4715.62361315,1475.0
4740.62361315,1475.0
4765.62361315,1500.0
4790.62361315,1500.0
4815.62361315,1500.0
4840.62361315,1500.0
4865.62361315,1525.0
4890.62361315,1525.0
4915.62361315,1525.0
4940.62361315,1525.0
4965.62361315,1525.0
4990.62361315,1475.0
5015.62361315,1475.0
5040.62361315,1575.0
5065.62361315,1475.0
5090.62361315,1500.0
5115.62361315,1500.0
5140.62361315,1500.0
5165.62361315,1500.0
5190.62361315,1525.0
5215.62361315,1525.0
5240.62361315,1525.0
5265.62361315,1525.0
5290.62361315,1550.0
5315.62361315,1475.0
5340.62361315,1475.0
5365.62361315,1450.0
5390.62361315,1458.17307692
5415.62361315,1475.0
5440.62361315,1500.0
5465.62361315,1700.0
5490.62361315,1500.0
5515.62361315,1500.0
5540.62361315,1500.0
5565.62361315,1525.0
5590.62361315,1525.0
5615.62361315,1550.0
5640.62361315,1550.0
5665.62361315,1550.0
5690.62361315,1550.0
5715.62361315,1550.0
5740.62361315,1575.0
5765.62361315,1575.0
5790.62361315,1575.0
5815.62361315,1575.0
5840.62361315,1600.0
5865.62361315,1600.0
5890.62361315,1600.0
5915.62361315,1600.0
5940.62361315,1500.0
5965.62361315,1512.5
5990.62361315,1525.0
6015.62361315,1525.0
6040.62361315,1525.0
6065.62361315,1550.0
6090.62361315,1550.0
6115.62361315,1550.0
6140.62361315,1550.0
6165.62361315,1575.0
6190.62361315,1575.0
6215.62361315,1575.0
6240.62361315,1575.0
6265.62361315,1575.0
6290.62361315,1600.0
6315.62361315,1600.0
6340.62361315,1600.0
6365.62361315,1600.0
6390.62361315,1550.0
6415.62361315,1532.14285714
6440.62361315,1525.0
6465.62361315,1525.0
6490.62361315,1525.0
6515.62361315,1650.0
6540.62361315,1525.0
6565.62361315,1550.0
6590.62361315,1550.0
6615.62361315,1550.0
6640.62361315,1556.48148148
6665.62361315,1568.51851852
6690.62361315,1575.0
6715.62361315,1575.0
6740.62361315,1575.0
6765.62361315,1587.5
6790.62361315,1600.0
6815.62361315,1600.0
6840.62361315,1600.0
6865.62361315,1500.0
6890.62361315,1500.0
6915.62361315,1500.0
6940.62361315,1500.0
6965.62361315,1500.0
6990.62361315,1500.0
7015.62361315,1525.0
7040.62361315,1525.0
7065.62361315,1525.0
7090.62361315,1525.0
7115.62361315,1650.0
7140.62361315,1550.0
7165.62361315,1550.0
7190.62361315,1425.0
7215.62361315,1825.0
7240.62361315,1825.0
7265.62361315,1450.0
7290.62361315,1575.0
7315.62361315,1575.0
7340.62361315,1575.0
7365.62361315,1600.0
7390.62361315,1600.0
7415.62361315,1600.0
7440.62361315,1600.0
7465.62361315,1475.0
7490.62361315,1475.0
7515.62361315,1350.0
7540.62361315,1350.0
7565.62361315,1350.0
7590.62361315,1388.88888889
7615.62361315,1461.11111111
7640.62361315,1500.0
7665.62361315,1375.0
7690.62361315,1322.15909091
7715.62361315,1300.0
7740.62361315,1300.0
7765.62361315,1325.92592593
7790.62361315,1374.07407407
7815.62361315,1400.0
7840.62361315,1400.0
7865.62361315,1380.46875
7890.62361315,1337.5
7915.62361315,1294.53125
7940.62361315,1275.0
7965.62361315,1275.14563861
7990.62361315,1275.57987481
8015.62361315,1276.29868912
8040.62361315,1277.29806208
8065.62361315,1278.57397423
8090.62361315,1280.12240611
8115.62361315,1281.93933824
8140.62361315,1284.02075116
8165.62361315,1286.36262541
8190.62361315,1288.96094152
8215.62361315,1291.81168003
8240.62361315,1294.91082147
8265.62361315,1298.25434638
8290.62361315,1301.83823529
8315.62361315,1305.65846874
8340.62361315,1309.71102727
8365.62361315,1313.9918914
8390.62361315,1318.49704167
8415.62361315,1323.22245863
8440.62361315,1328.16412279
8465.62361315,1333.31801471
8490.62361315,1338.6801149
8515.62361315,1344.24640392
8540.62361315,1350.01286229
8565.62361315,1355.97547055
8590.62361315,1362.13020923
8615.62361315,1368.47305887
8640.62361315,1375.0
8665.62361315,1387.54150854
8690.62361315,1400.0
8715.62361315,1406.29173328
8740.62361315,1412.2496003
8765.62361315,1417.85244052
8790.62361315,1423.07909339
8815.62361315,1427.90839838
8840.62361315,1432.31919496
8865.62361315,1436.29032258
8890.62361315,1439.80062071
8915.62361315,1442.82892881
8940.62361315,1445.35408633
8965.62361315,1447.35493276
8990.62361315,1448.81030753
9015.62361315,1449.69905013
9040.62361315,1450.0
9065.62361315,1450.0
9090.62361315,nan
9115.62361315,nan
9140.62361315,nan
9165.62361315,nan
9190.62361315,nan
9215.62361315,nan
9240.62361315,nan
9265.62361315,nan
9290.62361315,nan
9315.62361315,nan
9340.62361315,nan
9365.62361315,nan
9390.62361315,nan
9415.62361315,nan
9440.62361315,nan
9465.62361315,nan
9490.62361315,nan
9515.62361315,nan
9540.62361315,nan
9565.62361315,nan
9590.62361315,nan
9615.62361315,nan
9640.62361315,nan
9665.62361315,nan
9690.62361315,nan
9715.62361315,nan
9740.62361315,nan
9765.62361315,nan
9790.62361315,nan
9815.62361315,nan
9840.62361315,nan
9865.62361315,nan
9890.62361315,nan
9915.62361315,nan
9940.62361315,nan
9965.62361315,nan
9990.62361315,nan
